"","indiv","n.igis.tot","max.age.tot"
"654","TM378",2,87
"655","TM379",6,433
"656","TM386",2,15
"657","TM387",2,15
"658","TM388",6,361
"659","TM389",2,15
"660","TM390",2,15
"661","TM391",2,15
"662","TM392",2,15
"663","TM397",2,15
"664","TM427",7,438
"665","TM430",4,142
"666","TM431",4,142
"667","TM434",4,142
"668","TM436",11,542
"669","TM437",4,142
"670","TM438",4,142
"671","TM439",4,142
"672","TM449",1,52
"673","TM450",4,329
"674","TM467",1,26
"675","TM469",1,26
"676","TM471",1,26
"677","TM472",1,26
"678","UM011",2,1159
"679","UM013",1,809
"680","UM015",2,258
"681","VM001",16,1720
"682","VM002",1,955
"683","VM004",8,1404
"684","VM005",8,1404
"685","VM006",16,796
"686","VM008",3,334
"687","VM016",10,321
"688","VM023",6,159
"689","VM029",4,206
"690","VM036",1,23
"691","VM038",4,209
"692","VM039",1,23
"693","VM050",3,863
"694","VM054",3,863
"695","VM082",2,361
"696","VM084",2,361
"697","VM087",6,717
"698","VM096",11,2137
"699","VM097",1,51
"700","VM106",6,365
"701","VM107",6,365
"702","VM109",7,772
"703","VM115",4,56
"704","VM119",2,42
"705","VM120",2,42
"706","VM123",2,877
"707","VM126",1,122
"708","VM127",1,122
"709","VM129",2,583
"710","VM130",1,17
"711","W1",1,707
"712","W2",1,678
"713","W3",1,791
"714","W9",1,1655
"715","X6",26,2840
"716","Y8",9,2325
"717","YM002",1,1258
"718","YM004",1,1258
"719","YM005",1,1028
"720","YM007",1,1028
"721","YM067",2,846
"722","Z4",3,535
"723","Z7",3,535
"724","24M014",1,493
"725","30M002",1,760
"726","30M004",1,760
"727","8F",1,1228
"728","AA",2,239
"729","AT",2,169
"730","BM117",1,388
"731","BM133",1,321
"732","BM147",1,178
"733","BM149",2,241
"734","BM150",1,178
"735","BM165",1,38
"736","BM166",1,38
"737","BM169",1,38
"738","BM225",3,33
"739","BM229",3,33
"740","BM231",3,33
"741","BM235",3,33
"742","BM425",1,6
"743","BM579",4,170
"744","BM591",1,57
"745","BM706",1,7
"746","BM710",1,7
"747","BM714",1,7
"748","BM716",1,7
"749","BM719",1,7
"750","BM847",2,459
"751","BM850",2,459
"752","BM852",2,406
"753","BM855",2,339
"754","BM861",2,339
"755","BM867",2,265
"756","BM868",2,265
"757","BM869",2,265
"758","BM882",1,55
"759","BM885",1,48
"760","BO",1,1509
"761","DM058",2,41
"762","DM067",1,37
"763","DM076",1,11
"764","DM121",1,8
"765","DM122",1,8
"766","DM135",1,41
"767","DM142",2,83
"768","DM152",1,23
"769","DM153",1,23
"770","DM154",1,23
"771","DM155",1,23
"772","DM188",1,25
"773","DM243",2,106
"774","DM244",1,18
"775","DM248",2,44
"776","F9",1,739
"777","FM078",1,45
"778","FM089",1,45
"779","FM098",1,115
"780","FM134",1,21
"781","FM136",1,21
"782","FM199",2,329
"783","GM008",1,1025
"784","GM010",2,1284
"785","GM013",1,935
"786","GM016",3,482
"787","GM024",2,288
"788","GM136",1,247
"789","GM137",1,247
"790","GM140",1,247
"791","GM141",1,247
"792","GM142",1,10
"793","GM144",1,10
"794","GM147",1,10
"795","GM157",1,185
"796","GM165",1,111
"797","GM184",1,9
"798","GM185",2,333
"799","GM186",2,333
"800","GM187",2,333
"801","GM202",1,131
"802","HM225",3,296
"803","HM226",2,120
"804","HM228",2,120
"805","HM229",2,120
"806","HM230",1,62
"807","HM256",1,3
"808","HM382",2,234
"809","HM388",1,63
"810","HM389",2,94
"811","HM391",2,94
"812","HM392",2,94
"813","HM393",2,94
"814","HM394",2,94
"815","HM396",2,94
"816","HM398",2,94
"817","HM399",2,94
"818","HM405",1,16
"819","KM009",1,196
"820","L8",1,591
"821","L9",1,591
"822","M5",1,591
"823","NM013",3,23
"824","R6",1,433
"825","S0",1,433
"826","S5",1,433
"827","T3",1,433
"828","T4",1,433
"829","TM215",2,336
"830","TM217",2,336
"831","TM219",2,336
"832","TM221",2,336
"833","TM228",1,9
"834","TM239",1,56
"835","TM247",1,56
"836","TM269",1,44
"837","TM339",1,209
"838","TM362",1,36
"839","UM002",1,1693
"840","UM003",1,1693
"841","UM020",1,38
"842","V7",1,433
"843","VM013",1,17
"844","VM017",1,33
"845","VM025",4,44
"846","VM026",3,33
"847","VM027",1,50
"848","VM135",2,670
"849","VM136",2,670
"850","VM155",1,103
"851","YM022",2,1590
"852","YM083",2,704
"853","YM096",1,148
